label,precision,recall,f1,support
activate_my_card,1.0,0.975,0.9873417721518988,40
age_limit,0.975609756097561,1.0,0.9876543209876543,40
apple_pay_or_google_pay,1.0,1.0,1.0,40
atm_support,0.975,0.975,0.975,40
automatic_top_up,1.0,0.95,0.9743589743589743,40
balance_not_updated_after_bank_transfer,0.8571428571428571,0.75,0.8,40
balance_not_updated_after_cheque_or_cash_deposit,0.95,0.95,0.95,40
beneficiary_not_allowed,0.8780487804878049,0.9,0.8888888888888888,40
cancel_transfer,1.0,0.975,0.9873417721518988,40
card_about_to_expire,0.9069767441860465,0.975,0.9397590361445783,40
card_acceptance,0.9210526315789473,0.875,0.8974358974358975,40
card_arrival,0.8571428571428571,0.9,0.8780487804878049,40
card_delivery_estimate,0.8636363636363636,0.95,0.9047619047619048,40
card_linking,0.9487179487179487,0.925,0.9367088607594937,40
card_not_working,0.8863636363636364,0.975,0.9285714285714286,40
card_payment_fee_charged,0.8636363636363636,0.95,0.9047619047619048,40
card_payment_not_recognised,0.9024390243902439,0.925,0.9135802469135802,40
card_payment_wrong_exchange_rate,0.925,0.925,0.925,40
card_swallowed,1.0,0.9,0.9473684210526315,40
cash_withdrawal_charge,1.0,0.925,0.961038961038961,40
cash_withdrawal_not_recognised,0.8636363636363636,0.95,0.9047619047619048,40
change_pin,0.9285714285714286,0.975,0.9512195121951219,40
compromised_card,0.8947368421052632,0.85,0.8717948717948718,40
contactless_not_working,1.0,0.875,0.9333333333333333,40
country_support,0.926829268292683,0.95,0.9382716049382716,40
declined_card_payment,0.8181818181818182,0.9,0.8571428571428571,40
declined_cash_withdrawal,0.8333333333333334,1.0,0.9090909090909091,40
declined_transfer,0.8787878787878788,0.725,0.7945205479452054,40
direct_debit_payment_not_recognised,0.9210526315789473,0.875,0.8974358974358975,40
disposable_card_limits,0.9230769230769231,0.9,0.9113924050632911,40
edit_personal_details,0.975609756097561,1.0,0.9876543209876543,40
exchange_charge,0.925,0.925,0.925,40
exchange_rate,0.8636363636363636,0.95,0.9047619047619048,40
exchange_via_app,0.8863636363636364,0.975,0.9285714285714286,40
extra_charge_on_statement,0.95,0.95,0.95,40
failed_transfer,0.85,0.85,0.85,40
fiat_currency_support,0.9722222222222222,0.875,0.9210526315789473,40
get_disposable_virtual_card,0.918918918918919,0.85,0.8831168831168831,40
get_physical_card,0.9285714285714286,0.975,0.9512195121951219,40
getting_spare_card,0.9024390243902439,0.925,0.9135802469135802,40
getting_virtual_card,0.8666666666666667,0.975,0.9176470588235294,40
lost_or_stolen_card,0.8780487804878049,0.9,0.8888888888888888,40
lost_or_stolen_phone,0.9512195121951219,0.975,0.9629629629629629,40
order_physical_card,0.8974358974358975,0.875,0.8860759493670886,40
passcode_forgotten,0.9523809523809523,1.0,0.975609756097561,40
pending_card_payment,0.9722222222222222,0.875,0.9210526315789473,40
pending_cash_withdrawal,0.975,0.975,0.975,40
pending_top_up,0.9047619047619048,0.95,0.926829268292683,40
pending_transfer,0.825,0.825,0.825,40
pin_blocked,0.9714285714285714,0.85,0.9066666666666666,40
receiving_money,0.95,0.95,0.95,40
Refund_not_showing_up,0.975609756097561,1.0,0.9876543209876543,40
request_refund,0.975,0.975,0.975,40
reverted_card_payment?,0.8409090909090909,0.925,0.8809523809523809,40
supported_cards_and_currencies,0.8666666666666667,0.975,0.9176470588235294,40
terminate_account,0.975609756097561,1.0,0.9876543209876543,40
top_up_by_bank_transfer_charge,0.9736842105263158,0.925,0.9487179487179487,40
top_up_by_card_charge,0.9487179487179487,0.925,0.9367088607594937,40
top_up_by_cash_or_cheque,0.9473684210526315,0.9,0.9230769230769231,40
top_up_failed,0.9230769230769231,0.9,0.9113924050632911,40
top_up_limits,0.975609756097561,1.0,0.9876543209876543,40
top_up_reverted,0.9230769230769231,0.9,0.9113924050632911,40
topping_up_by_card,0.8108108108108109,0.75,0.7792207792207793,40
transaction_charged_twice,0.9302325581395349,1.0,0.963855421686747,40
transfer_fee_charged,0.972972972972973,0.9,0.935064935064935,40
transfer_into_account,0.9142857142857143,0.8,0.8533333333333334,40
transfer_not_received_by_recipient,0.7777777777777778,0.875,0.8235294117647058,40
transfer_timing,0.8809523809523809,0.925,0.9024390243902439,40
unable_to_verify_identity,0.9714285714285714,0.85,0.9066666666666666,40
verify_my_identity,0.9166666666666666,0.825,0.868421052631579,40
verify_source_of_funds,1.0,1.0,1.0,40
verify_top_up,1.0,1.0,1.0,40
virtual_card_not_working,1.0,0.875,0.9333333333333333,40
visa_or_mastercard,0.9736842105263158,0.925,0.9487179487179487,40
why_verify_identity,0.8043478260869565,0.925,0.8604651162790697,40
wrong_amount_of_cash_received,0.9743589743589743,0.95,0.9620253164556962,40
wrong_exchange_rate_for_cash_withdrawal,0.9473684210526315,0.9,0.9230769230769231,40
